click_interval_ms,fixed_coordination_ratio,ip_session_count,request_frequency_per_min,mouse_movement_pixesl,tickets_per_person,captcha_bypass_attempts,user_agent_anomaly,api_call_ratio,click_sequence_entropy,session_duration_sec,page_refresh_rate,cart_abandonment_rate,success_rate,keyboard_interval_ms,is_bot
356.4185,0.0,4.0,3.2571,1909.4535,4.0,0.0,0.0,0.1549,3.1302,270.9062,0.0,0.4454,0.3407,95.3057,0
277.6183,0.4,2.0,6.5733,3254.4032,3.0,1.0,0.0,0.0328,3.0773,569.4643,0.0,0.4014,0.3324,258.6097,1
146.2656,0.139,0.7629,1.2192,2948.3586,3.1388,0.0,1.5051,0.0268,2.1554,128.7002,1.7763,0.2989,0.5026,219.3844,0
285.3182,0.0,5.4548,3.1386,364.2873,4.4204,0.0,0.0,0.3019,3.7622,330.5853,1.8051,0.5644,0.3699,339.9652,0
504.7439,0.4,2.0,8.1458,269.0205,2.0,1.0,0.0,0.0869,4.5619,527.08,1.0,0.6,0.299,322.4862,0
188.0671,0.0,4.0,5.9258,1866.5653,2.0,1.0,0.0,0.2848,3.5937,766.1102,2.0,0.2575,0.5896,223.8863,0
624.506,0.2674,5.0,7.6756,2912.2314,3.0,2.0,0.0,0.0378,4.0456,411.4153,2.0,0.3632,0.4346,334.9426,0
853.2387,0.5192,1.0433,17.1617,134.393,1.142,1.8026,0.0,0.0727,4.1245,297.0751,0.586,0.0699,0.7448,32.3464,0
627.9812,0.6938,4.9449,2.4542,417.2509,1.6146,0.0,0.0,0.1044,3.9148,374.1971,1.4729,0.7487,0.4398,99.0955,0
556.0322,0.0,3.0,16.384,200.0,2.0,1.0,0.0,0.2036,2.6747,91.7427,1.0,0.4121,0.3532,170.8126,0
208.4024,0.0,0.7509,3.8531,3928.1993,3.8483,0.0,0.0,0.0664,3.1429,418.0259,0.0,0.21,0.3925,233.8585,0
976.9562,0.4,0.0,5.0185,1137.7257,0.0,0.0,0.0,0.0929,2.5266,511.0599,0.0,0.3837,0.2961,197.5505,0
594.1995,0.4,4.0,9.0722,3908.8349,3.0,1.0,0.0,0.201,4.2099,119.3809,2.0,0.1834,0.2178,261.0099,0
148.1789,0.4,2.0,14.5353,1554.2533,1.0,1.0,0.0,0.0358,3.2262,718.183,2.0,0.5721,0.595,187.7141,0
582.3087,0.0,5.0,12.4284,2118.2626,2.0,0.0,0.0,0.0975,2.6156,565.8392,2.0,0.3083,0.474,549.2696,0
557.0086,0.4,2.0,9.1392,2236.1186,2.0,1.0,0.0,0.0715,3.4218,423.5375,1.0,0.3125,0.3985,203.5726,1
658.0555,0.4,1.0,7.5268,1540.6382,1.0,2.0,0.0,0.121,3.5275,219.5183,3.0,0.3307,0.1667,301.0679,0
147.3009,0.4,1.0,9.2783,2238.3008,0.0,0.0,0.0,0.1122,2.4994,284.2318,0.0,0.3754,0.1545,153.3773,0
385.6193,0.4,3.0,10.8424,678.0787,3.0,1.0,0.0,0.2039,3.4229,442.3829,1.0,0.4932,0.2913,371.2301,0
335.8903,0.4,1.0,4.7507,1223.8805,0.0,3.0,0.0,0.0311,3.7314,160.6109,0.0,0.3605,0.4359,77.1923,0
606.3313,0.4,1.0,12.0011,737.054,3.0,0.0,0.0,0.0922,3.233,120.0708,0.0,0.388,0.1204,203.3161,0
406.1764,0.0,5.0,9.842,200.0,2.0,1.0,0.0,0.1135,2.1196,549.6211,2.0,0.4046,0.5012,256.5477,0
330.7692,0.1995,9.358,7.9462,228.8227,1.1169,0.0,0.0,0.1271,7.605,966.6908,1.7661,0.208,0.6166,330.5829,0
337.5637,0.4,4.0,7.6667,1603.4627,3.0,1.0,0.0,0.0926,3.0729,110.5145,2.0,0.3334,0.1919,442.922,0
219.6654,0.0,5.0,2.517,1179.3876,3.0,0.0,0.0,0.0653,1.0,270.1446,2.0,0.2573,0.3791,305.21,0
708.4945,0.4,3.0,11.9181,2920.8422,0.0,1.0,0.0,0.0725,2.5075,307.7313,0.0,0.506,0.2158,484.9675,0
288.1456,0.1432,5.1588,4.9275,1215.4476,2.4528,0.0,0.0,0.074,2.6765,906.7373,4.1883,0.4286,0.15,188.0893,0
991.8666,0.0,8.0,13.122,746.2576,1.0,2.0,0.0,0.0627,2.5884,501.4678,2.0,0.2795,0.4876,242.8901,0
390.0395,0.1653,6.0,12.8145,2836.7912,5.0,0.0,0.0,0.3,3.3336,472.0148,1.0,0.3243,0.0617,68.9994,0
651.2669,0.2437,0.7231,15.4991,694.3765,0.585,1.3731,0.0,0.106,3.2224,307.1907,0.4272,0.0554,0.2831,172.5453,0
510.0806,0.0,3.0,5.8885,200.0,3.0,1.0,0.0,0.0927,2.9722,39.5365,3.0,0.2359,0.3942,281.7014,0
507.1604,0.4,1.0,9.6291,2333.9956,1.0,2.0,0.0,0.1196,2.5808,521.0401,2.0,0.4582,0.2162,227.3619,0
356.4932,0.0,5.0,10.9787,3028.4018,1.0,0.0,0.0,0.091,2.4204,263.6204,1.0,0.6,0.2671,501.5331,0
1302.7096,0.7743,3.3158,13.5034,2224.5155,2.0936,1.4935,0.5932,0.1538,1.8378,119.5319,1.3034,0.1878,0.2507,146.9013,0
1145.997,0.7329,1.6334,9.2563,842.1563,3.8728,6.4536,0.0,0.0433,4.6184,392.6552,0.7873,0.3179,0.9537,176.9799,0
268.2977,0.0,1.8683,2.9284,498.6367,4.0749,0.0,0.0,0.0642,0.7493,896.6925,0.0,0.4362,0.8815,159.9487,0
308.6199,0.4,1.0,6.1713,2388.7969,1.0,2.0,0.0,0.0162,3.7286,313.8683,2.0,0.3414,0.5825,147.3188,0
691.5978,0.4,2.0,8.3788,1005.4752,1.0,3.0,0.0,0.2804,2.0436,382.3943,0.0,0.2597,0.6234,343.2925,0
608.7717,0.0,1.0,7.4239,2913.7452,3.0,0.0,0.0,0.0212,2.3992,510.5414,4.0,0.1223,0.7,278.2337,0
895.1693,0.4,2.0,8.1837,3079.6601,3.0,1.0,0.0,0.0487,1.781,30.0,1.0,0.2457,0.2546,271.9246,0
564.5145,0.0,3.0,6.947,3042.1025,2.0,0.0,0.0,0.0409,3.9379,199.282,1.0,0.4606,0.3709,79.5535,0
279.8187,0.33,10.5975,2.0234,1887.3268,0.8057,2.4174,0.0,0.061,2.4325,335.7279,0.0,0.2661,0.3986,518.8487,0
732.8191,0.4,3.0,6.7577,1004.4459,2.0,0.0,0.0,0.1857,3.3236,446.7738,0.0,0.6,0.444,309.7331,0
608.1821,0.0,3.0,6.5439,2170.5352,0.0,0.0,0.0,0.2312,2.9512,52.8152,0.0,0.0588,0.4268,219.829,0
716.7422,0.4,1.0,10.9224,200.0,1.0,0.0,0.0,0.0536,4.0061,505.3369,2.0,0.258,0.184,30.0,0
834.6534,0.0,3.0,1.8501,2224.2193,3.0,1.0,0.0,0.1464,1.889,375.993,2.0,0.4812,0.6539,30.0,0
823.1292,0.4,0.0,11.2458,2882.3406,3.0,0.0,0.0,0.022,2.8866,160.5888,3.0,0.2592,0.2656,253.2469,0
760.2736,0.0,4.0,1.0,789.9341,1.0,1.0,0.0,0.072,3.9611,65.3841,2.0,0.6,0.3478,384.0701,0
569.1608,0.0,5.0,1.0,482.0074,2.0,2.0,0.0,0.2005,1.4894,452.5171,0.0,0.4865,0.6373,543.3188,0
253.533,0.6141,1.8789,12.6623,2254.8189,3.537,3.2166,0.0,0.0811,1.891,203.4786,0.0,0.1131,0.2455,96.0757,0
26.7993,0.211,0.6099,21.5504,6310.2316,1.4112,0.0,0.0,0.2305,1.8807,857.7953,4.5391,0.1698,0.0586,624.3728,0
726.8319,0.4,2.0,3.7869,2984.8733,4.0,2.0,0.0,0.0151,4.1893,76.8743,1.0,0.3024,0.4541,556.4438,0
342.7056,0.4,5.0,6.8464,909.7,3.0,1.0,0.0,0.0836,3.2807,655.5201,1.0,0.4985,0.4884,138.5513,0
80.0,0.4,2.0,3.228,379.8879,2.0,0.0,0.0,0.2684,2.8245,78.4093,1.0,0.338,0.4123,156.6057,0
639.1916,0.4,4.0,11.4803,2571.5028,3.0,2.0,0.0,0.2562,3.0958,485.619,1.0,0.2299,0.3582,207.6928,0
750.1516,0.0,5.0,8.8432,1003.19,4.0,2.0,0.0,0.106,1.6059,537.7622,0.0,0.4815,0.257,228.9558,0
909.2637,0.5058,4.9088,11.377,513.4657,5.7322,0.0,1.4546,0.1974,2.2258,334.8815,1.5084,0.9843,0.0934,229.7225,0
245.8642,0.0,2.0,10.2765,1645.5665,6.0,2.0,0.0,0.092,3.2029,30.0,0.0,0.4358,0.5201,287.6225,0
1461.8338,0.0,6.1315,5.0509,3217.7899,1.1662,0.3828,0.0,0.4339,2.4792,803.0744,0.8128,0.3762,0.2006,151.3463,0
1046.6781,0.4,4.0,7.505,1860.8725,2.0,0.0,1.0,0.084,2.131,300.9417,1.0,0.2558,0.2852,328.313,1
403.1475,0.0,1.1972,4.6581,938.8093,5.8506,0.391,0.0,0.1032,1.1788,43.4416,1.1551,0.1686,0.5787,389.9745,0
451.5053,0.0,3.322,8.4253,2303.5346,1.2194,0.3741,0.6669,0.128,1.8484,49.0732,0.0,0.25,0.3556,63.8997,0
461.2584,0.4,3.0,9.261,2093.3668,1.0,1.0,0.0,0.1142,3.0574,463.351,4.0,0.4674,0.4844,254.5117,1
2306.2524,0.7411,0.0,6.5701,4163.1047,3.2159,0.6671,0.0,0.0685,2.1586,937.7834,1.6656,0.4311,0.5551,117.873,0
425.7038,0.446,1.5341,2.3396,732.1507,5.7207,0.0,0.0,0.1278,3.3832,729.826,2.5133,0.0977,0.0693,116.347,0
524.006,0.0,4.0,8.6515,2906.5359,4.0,0.0,0.0,0.1807,2.377,448.599,2.0,0.2258,0.4068,284.3353,0
789.1881,0.0,1.6001,2.3528,2754.7139,3.0625,0.8846,0.0,0.1017,4.4686,446.7584,0.0,0.2601,0.2035,117.5066,0
928.5635,0.5846,9.1042,4.9579,1786.4598,3.261,0.6139,0.0,0.1232,0.8019,493.3198,2.4309,0.5294,0.513,605.8155,0
380.5058,0.4,5.0,7.2549,3534.4262,0.0,2.0,0.0,0.0456,2.5122,313.7507,1.0,0.2614,0.3614,30.0,0
549.1972,0.1451,4.2731,4.5633,6416.1641,0.0,0.0,0.0,0.0598,6.2502,466.4914,4.87,0.2301,0.3717,37.0092,0
623.5876,0.4,3.0,12.977,591.58,0.0,0.0,0.0,0.1166,2.1684,311.6007,0.0,0.1146,0.5156,325.4358,0
141.6018,0.0,3.9446,16.81,983.8148,1.2285,0.4347,0.0,0.1048,3.2195,248.02,0.0,0.5391,0.4012,37.9227,0
858.3576,0.4,1.0,7.9436,794.8446,0.0,2.0,1.0,0.2557,2.9102,651.2976,0.0,0.2405,0.4299,173.7972,1
288.5424,0.3154,5.7476,10.6691,3187.8048,5.4312,1.9182,0.0,0.037,4.5378,386.4027,3.3515,0.1866,0.9139,288.3245,0
304.4578,0.1965,1.5961,6.1442,5064.3219,3.1674,0.3293,0.0,0.0425,3.215,1379.9732,3.1403,0.1959,0.7364,121.4077,0
469.0481,0.4,4.0,1.6044,2332.8837,4.0,1.0,0.0,0.0496,1.9531,832.1787,3.0,0.169,0.208,375.1978,0
567.8469,0.2181,2.4726,10.3813,1144.592,2.6178,0.8067,0.0,0.0175,2.6171,304.8318,0.0,0.4306,0.2747,317.4699,0
461.0161,0.4,2.0,12.583,3425.1645,1.0,1.0,0.0,0.1809,3.6399,466.0387,1.0,0.1096,0.3949,363.1275,0
433.7334,0.0,0.0,8.1682,2147.0337,2.0,2.0,0.0,0.0242,3.3527,609.7502,0.0,0.3278,0.3217,338.186,0
676.7779,0.4,4.0,9.8022,1895.0774,3.0,2.0,0.0,0.0479,2.2735,339.4362,1.0,0.6,0.3676,290.6443,1
403.0188,0.0,4.0,11.9657,1874.3372,0.0,0.0,0.0,0.1132,3.4901,402.9537,0.0,0.3661,0.4511,263.8303,0
824.011,0.4,4.0,5.3664,1351.2977,5.0,0.0,1.0,0.3,1.309,531.1644,1.0,0.357,0.299,274.1052,0
473.7214,0.4,2.0,6.2348,1016.2187,0.0,1.0,0.0,0.0509,3.4349,256.1623,0.0,0.5263,0.4483,223.5265,0
545.6844,0.4022,5.4087,3.5691,401.6143,10.864,1.1011,0.0,0.4011,1.8329,181.4216,0.8321,0.3697,0.3544,222.4049,0
275.925,0.4404,1.1348,0.9688,2999.1598,4.2899,0.7809,0.0,0.1361,6.7784,406.2256,1.3468,0.1637,1.1165,10.8483,0
849.362,0.0,0.0,24.1292,3520.3179,3.797,5.3584,0.0,0.2093,4.2727,1327.4803,0.0,0.0969,0.1805,321.469,0
990.3804,0.4,1.0,2.933,717.5325,3.0,1.0,0.0,0.0652,2.3914,432.8173,1.0,0.2071,0.5572,221.4976,0
358.0716,0.4,1.0,8.1895,3462.2195,5.0,0.0,0.0,0.0951,2.8056,371.9975,0.0,0.4045,0.2631,204.9445,0
322.1013,0.154,1.4426,1.8972,331.1351,2.4427,2.3858,0.0,0.0901,3.6518,441.9084,2.9708,0.8599,1.0716,376.1495,0
650.7141,0.0,2.0,11.4763,454.7733,4.0,2.0,0.0,0.038,1.9883,649.1787,0.0,0.6,0.2498,200.2521,0
678.1065,0.4,7.0,5.6747,941.8109,5.0,1.0,0.0,0.0363,2.7866,30.0,2.0,0.5932,0.3949,172.5331,0
309.1238,0.0,0.0,1.1516,1083.5335,3.1816,0.0,0.0,0.1034,1.5662,29.676,0.9585,0.6005,1.0377,148.8304,0
429.7927,0.4,2.0,2.5733,1600.8245,3.0,0.0,0.0,0.0233,2.9213,322.4856,1.0,0.2497,0.3229,361.1358,0
806.7989,0.4,7.0,1.0,3160.1747,1.0,1.0,0.0,0.0805,4.2063,161.1354,0.0,0.3387,0.1954,88.7539,0
1091.3444,0.6683,6.1242,11.5632,664.5491,2.4395,1.0166,0.0,0.1026,4.4617,692.3434,5.1074,0.3671,0.1876,350.1736,1
602.3125,0.4,1.0,1.0,1433.7494,0.0,0.0,0.0,0.0318,2.2401,35.5513,4.0,0.6,0.3235,335.1276,0
441.9442,0.4,0.0,9.7449,3209.9978,4.0,0.0,0.0,0.0208,2.3201,924.5338,0.0,0.5696,0.4416,242.0509,1
636.353,0.4,5.0,4.8033,2688.2451,0.0,1.0,0.0,0.2117,1.4622,144.3358,1.0,0.1451,0.4513,275.4721,0
754.5619,0.0,1.0,12.1995,2889.37,2.0,0.0,0.0,0.0387,2.8874,392.9932,0.0,0.4538,0.2659,343.4191,0
511.092,0.4,4.0,11.3694,814.3556,1.0,0.0,0.0,0.0733,3.2089,424.9874,0.0,0.5453,0.2036,483.1707,0
755.1054,0.6225,1.7944,11.643,3020.6733,4.4152,0.502,0.0,0.0995,1.4294,181.795,0.4985,0.4905,0.058,45.1238,0
905.1522,0.0,2.8912,12.567,1200.9524,1.3131,0.0,0.0,0.1674,6.6263,585.5589,1.3339,0.5736,0.1295,399.3779,0
560.0273,0.4,6.0,10.5988,643.0796,1.0,0.0,0.0,0.0948,1.7785,470.3399,1.0,0.3844,0.2652,30.0,0
523.4791,0.4,4.0,14.3225,1446.8414,1.0,1.0,0.0,0.0354,1.9117,161.1742,0.0,0.2007,0.45,392.3886,0
247.8496,0.0,2.0,12.5878,2583.8674,5.0,0.0,0.0,0.1782,4.3035,493.0152,0.0,0.3085,0.2328,175.1132,0
225.3689,0.5121,4.5572,18.2357,2602.1932,4.07,4.3255,0.0,0.0902,7.0554,293.0533,0.8709,0.1745,0.4294,149.02,0
693.2117,0.4,4.0,1.0,3364.6532,2.0,0.0,0.0,0.047,1.9039,837.0147,1.0,0.2256,0.67,175.7944,0
989.2846,0.6668,4.33,11.6991,6870.6763,4.6349,0.0,0.0,0.0849,5.126,269.5335,0.0,0.9716,0.6994,391.0353,0
838.1706,0.0,0.0,16.2673,2177.8201,5.5192,1.4364,0.0,0.0359,4.9245,188.952,0.0,0.3332,0.3994,516.5268,0
594.5345,0.4,0.0,5.1017,3026.1467,1.0,1.0,0.0,0.1322,4.8,270.1476,4.0,0.4609,0.5416,281.8853,0
246.4624,0.4,0.0,10.2552,2118.8664,2.0,1.0,0.0,0.0391,3.2223,537.9687,1.0,0.5443,0.2054,330.2909,0
732.5365,0.4,6.0,4.8206,1106.5657,2.0,3.0,0.0,0.1849,3.4203,372.6636,1.0,0.2647,0.3176,112.6065,0
179.8468,0.0,3.0,4.6586,2976.5282,3.0,0.0,0.0,0.1327,2.6147,645.8257,0.0,0.4133,0.4472,129.2617,0
557.1836,0.0,2.0,2.8014,200.0,5.0,0.0,0.0,0.116,2.6946,734.0637,1.0,0.5833,0.3117,412.7544,0
348.1175,0.0,2.0,7.2442,631.2476,3.0,1.0,1.0,0.1958,4.108,454.0404,0.0,0.3191,0.176,356.3249,0
229.6676,0.4642,1.138,7.3807,2497.7435,4.7978,1.5594,0.0,0.1882,4.1658,467.0638,0.7865,0.2158,0.3397,250.5254,0
668.4811,0.7597,4.2331,6.3262,761.5122,1.4237,1.5277,0.0,0.0916,1.0233,301.3881,2.4096,0.2841,0.6495,212.3954,0
650.9707,0.4,2.0,10.5435,1357.5059,4.0,0.0,0.0,0.3,2.1122,551.256,3.0,0.2639,0.2402,504.4395,0
511.5849,0.3996,2.0971,1.5971,906.397,3.1315,2.0784,0.0,0.1066,0.9908,250.5201,0.6657,0.3206,0.5049,75.0193,0
278.581,0.0,4.0,9.8546,2295.1124,3.0,1.0,0.0,0.0921,1.9646,476.7266,0.0,0.4489,0.25,377.2838,1
604.659,0.0,0.0,10.1463,1891.6326,1.0,1.0,0.0,0.0371,1.9534,30.0,1.0,0.2553,0.3536,137.0437,0
634.6633,0.0,7.0,8.8392,1574.0138,3.0,0.0,0.0,0.1363,2.3679,775.269,2.0,0.6,0.3222,171.3243,1
1315.0802,0.2832,4.5048,5.6179,4106.9002,1.7437,0.0,0.0,0.1106,4.5219,107.7313,0.8579,0.7518,0.1756,11.0187,0
516.8812,0.4,2.0,9.9123,572.1922,2.0,0.0,0.0,0.1324,2.6062,372.3252,1.0,0.3021,0.2078,233.8563,0
80.0,0.4,2.0,1.0,1099.2721,1.0,0.0,0.0,0.0645,2.0382,612.542,0.0,0.2953,0.4,158.1756,0
761.9928,0.4,4.0,13.0639,1652.8283,3.0,1.0,0.0,0.0808,3.5044,545.0853,1.0,0.2921,0.2016,325.0863,0
560.3071,0.4,3.0,5.4269,3214.1938,2.0,1.0,1.0,0.0638,1.8535,403.501,1.0,0.4668,0.6162,200.1827,0
820.5928,0.4,3.0,12.8502,1186.3916,0.0,0.0,0.0,0.0723,2.2521,421.3001,2.0,0.4455,0.5581,323.1125,0
732.708,0.4,2.0,4.1073,2298.0636,1.0,1.0,0.0,0.1303,2.578,409.6766,0.0,0.1887,0.2622,397.9736,0
748.8873,0.4,7.0,1.2814,200.0,3.0,0.0,0.0,0.102,2.8227,668.1134,3.0,0.2896,0.34,299.5322,0
849.8068,0.3975,1.0,8.8371,719.496,2.0,1.0,0.0,0.0615,3.3522,281.0183,0.0,0.3511,0.4803,201.2871,0
369.566,0.4,5.0,7.3325,3130.6363,4.0,2.0,0.0,0.0247,2.2005,478.8748,0.0,0.4748,0.3834,410.2438,1
872.4015,0.0,3.0,12.648,2130.9689,3.0,4.0,1.0,0.032,3.9959,462.9939,0.0,0.1354,0.1459,437.3528,0
326.9798,0.4,5.0,6.2012,200.0,2.0,0.0,0.0,0.0489,2.5054,285.4268,0.0,0.5799,0.5097,228.5447,0
708.5809,0.4,7.0,9.3114,3943.3046,1.0,0.0,0.0,0.1041,3.2906,555.9265,3.0,0.3127,0.377,148.3386,0
192.1325,0.0,4.7408,26.816,1183.2007,3.4879,0.0,0.0,0.1666,7.6793,709.1688,1.6109,0.6371,0.4142,83.6079,0
341.6448,0.0,0.0,2.3901,2002.3479,3.0,1.0,0.0,0.1202,2.7043,329.3136,1.0,0.3562,0.611,249.9603,0
214.059,0.0,8.2523,7.8177,2262.7038,3.4984,0.0,0.0,0.1038,2.3487,621.8243,0.0,0.0893,0.3084,314.4379,0
484.6315,0.4631,1.1638,4.8767,2520.9546,1.8698,0.0,0.0,0.1676,2.879,194.5057,1.2518,0.2572,0.2202,134.5452,0
565.0964,0.0,1.0,10.8466,756.7466,3.0,0.0,0.0,0.0771,3.3925,363.0731,0.0,0.1531,0.1234,267.8288,0
617.8391,0.4,5.0,9.5498,1221.3678,0.0,0.0,0.0,0.1337,1.1248,744.8047,2.0,0.5442,0.3384,416.9487,0
466.7657,0.4,3.0,8.5555,1071.152,2.0,0.0,0.0,0.0872,3.0303,352.5914,0.0,0.1074,0.4372,210.4406,0
345.7361,0.4,5.0,8.7718,2470.1909,1.0,0.0,0.0,0.0774,3.7238,699.9359,3.0,0.4042,0.3445,345.1121,0
425.1571,0.4,0.0,7.8866,2942.3955,0.0,0.0,0.0,0.0755,2.4397,343.4351,2.0,0.5971,0.555,379.3718,0
392.6016,0.0,3.0,3.1351,2893.4556,4.0,0.0,1.0,0.2114,4.0969,449.8568,2.0,0.4534,0.3643,391.2484,0
586.4439,0.4,3.0,5.0975,2065.0516,4.0,0.0,0.0,0.2543,2.1377,213.89,1.0,0.2762,0.1411,172.454,0
857.5715,0.4,2.0,10.9564,200.0,4.0,0.0,0.0,0.1165,3.2761,30.0,2.0,0.4573,0.1913,319.1749,0
1055.0722,0.0,2.0,5.1164,3313.5741,4.0,0.0,0.0,0.0563,3.8833,30.0,0.0,0.05,0.3756,477.2972,0
